date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:02:30	295/295	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Sep%202023%2020:02:30%20GMT	http://localhost/robots.txt		(from )
02:02:34	73237/73237	---MC-	200	added ('OK')	text/html	date:Thu,%2028%20Sep%202023%2020:02:30%20GMT	http://localhost/wordpress/	C:/My%20Web%20Sites/copy%20of%20hostel%20hunter/localhost/wordpress/index.html	(from )
02:02:34	104484/104484	---M--	200	added ('OK')	text/css	etag:%2219824-600d5209602c0%22	http://localhost/wordpress/wp-includes/css/dist/block-library/style.min.css?ver=6.3.1	C:/My%20Web%20Sites/copy%20of%20hostel%20hunter/localhost/wordpress/wp-includes/css/dist/block-library/style.min9b30.css	(from http://localhost/wordpress/)
02:02:36	11256/11256	---M--	200	added ('OK')	text/css	etag:%222bf8-5b075c75d5c80%22	http://localhost/wordpress/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	C:/My%20Web%20Sites/copy%20of%20hostel%20hunter/localhost/wordpress/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from http://localhost/wordpress/)
02:02:36	1754/1754	---M--	200	added ('OK')	application/rss+xml	etag:%221695357fe59bbaad6b59f9adf3f6363c%22	http://localhost/wordpress/comments/feed/	C:/My%20Web%20Sites/copy%20of%20hostel%20hunter/localhost/wordpress/comments/feed/index.html	(from http://localhost/wordpress/)
02:02:36	4186/4186	---M--	200	added ('OK')	text/css	etag:%22105a-58ac1e7924f80%22	http://localhost/wordpress/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.3.1	C:/My%20Web%20Sites/copy%20of%20hostel%20hunter/localhost/wordpress/wp-includes/js/mediaelement/wp-mediaelement.min9b30.css	(from http://localhost/wordpress/)
02:02:36	11288/11288	---MC-	200	added ('OK')	application/rss+xml	etag:%221695357fe59bbaad6b59f9adf3f6363c%22	http://localhost/wordpress/feed/	C:/My%20Web%20Sites/copy%20of%20hostel%20hunter/localhost/wordpress/feed/index.html	(from http://localhost/wordpress/)
02:02:36	100782/100782	---M--	200	added ('OK')	text/css	etag:%22189ae-6062a1478cab0%22	http://localhost/wordpress/wp-content/plugins/kenta-blocks/assets/fontawesome/css/all.min.css?ver=1.3.6	C:/My%20Web%20Sites/copy%20of%20hostel%20hunter/localhost/wordpress/wp-content/plugins/kenta-blocks/assets/fontawesome/css/all.min6a9f.css	(from http://localhost/wordpress/)
02:02:37	21047/21047	---M--	200	added ('OK')	text/css	etag:%225237-6062a1479ab7d%22	http://localhost/wordpress/wp-content/plugins/kenta-blocks/dist/blocks.style.min.css?ver=1.3.6	C:/My%20Web%20Sites/copy%20of%20hostel%20hunter/localhost/wordpress/wp-content/plugins/kenta-blocks/dist/blocks.style.min6a9f.css	(from http://localhost/wordpress/)
02:02:38	10351/10351	---M--	200	added ('OK')	text/css	etag:%22286f-6062abe9a4499%22	http://localhost/wordpress/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=10.9.3	C:/My%20Web%20Sites/copy%20of%20hostel%20hunter/localhost/wordpress/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style71f0.css	(from http://localhost/wordpress/)
02:02:38	273024/273024	---M--	200	added ('OK')	text/css	etag:%2242a80-6062abe9a2181%22	http://localhost/wordpress/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-all-blocks-style.css?ver=10.9.3	C:/My%20Web%20Sites/copy%20of%20hostel%20hunter/localhost/wordpress/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-all-blocks-style71f0.css	(from http://localhost/wordpress/)
02:02:40	2859/2859	---M--	200	added ('OK')	text/css	etag:%22b2b-6062abdb03c84%22	http://localhost/wordpress/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8	C:/My%20Web%20Sites/copy%20of%20hostel%20hunter/localhost/wordpress/wp-content/plugins/contact-form-7/includes/css/styles41a3.css	(from http://localhost/wordpress/)
02:02:40	5341/5341	---M--	200	added ('OK')	text/css	etag:%2214dd-6062a1363518c%22	http://localhost/wordpress/wp-content/plugins/kenta-companion/assets/css/kenta-companion.min.css?ver=1.1.9	C:/My%20Web%20Sites/copy%20of%20hostel%20hunter/localhost/wordpress/wp-content/plugins/kenta-companion/assets/css/kenta-companion.minc5c9.css	(from http://localhost/wordpress/)
02:02:40	8825/8825	---M--	200	added ('OK')	text/css	etag:%222279-6062a106f7e5c%22	http://localhost/wordpress/wp-content/themes/kenta-business/style.css?ver=1.0.3	C:/My%20Web%20Sites/copy%20of%20hostel%20hunter/localhost/wordpress/wp-content/themes/kenta-business/style4bf4.css	(from http://localhost/wordpress/)
02:02:40	100782/100782	---M--	200	added ('OK')	text/css	etag:%22189ae-6062a10d4cf76%22	http://localhost/wordpress/wp-content/themes/kenta/lotta-framework/dist/vendor/fontawesome/css/all.min.css?ver=2.0.10	C:/My%20Web%20Sites/copy%20of%20hostel%20hunter/localhost/wordpress/wp-content/themes/kenta/lotta-framework/dist/vendor/fontawesome/css/all.min6471.css	(from http://localhost/wordpress/)
02:02:42	106004/106004	---M--	200	added ('OK')	text/css	etag:%2219e14-6062a10d44aa7%22	http://localhost/wordpress/wp-content/themes/kenta/dist/css/style.min.css?ver=1.2.3	C:/My%20Web%20Sites/copy%20of%20hostel%20hunter/localhost/wordpress/wp-content/themes/kenta/dist/css/style.min9632.css	(from http://localhost/wordpress/)
02:02:43	2438/2438	---M--	200	added ('OK')	text/css	etag:%22986-6062acb42d1ec%22	http://localhost/wordpress/wp-content/fonts/e57f61e262c08435add64496facfc11d.css?ver=1.2.3	C:/My%20Web%20Sites/copy%20of%20hostel%20hunter/localhost/wordpress/wp-content/fonts/e57f61e262c08435add64496facfc11d9632.css	(from http://localhost/wordpress/)
02:02:43	27623/27623	---M--	200	added ('OK')	text/css	etag:%226be7-6062a10d44e8f%22	http://localhost/wordpress/wp-content/themes/kenta/dist/css/woo.min.css?ver=1.2.3	C:/My%20Web%20Sites/copy%20of%20hostel%20hunter/localhost/wordpress/wp-content/themes/kenta/dist/css/woo.min9632.css	(from http://localhost/wordpress/)
02:02:45	6607/6607	---M--	200	added ('OK')	application/javascript	etag:%2219cf-5f41e314ed740%22	http://localhost/wordpress/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.11	C:/My%20Web%20Sites/copy%20of%20hostel%20hunter/localhost/wordpress/wp-includes/js/dist/vendor/regenerator-runtime.min8fa4.js	(from http://localhost/wordpress/)
02:02:45	8171/8171	---M--	200	added ('OK')	application/javascript	etag:%221feb-5f287f2e2a640%22	http://localhost/wordpress/wp-includes/js/dist/vendor/wp-polyfill-inert.min.js?ver=3.1.2	C:/My%20Web%20Sites/copy%20of%20hostel%20hunter/localhost/wordpress/wp-includes/js/dist/vendor/wp-polyfill-inert.min0226.js	(from http://localhost/wordpress/)
